id,name,category,type,address,hours,mainMenu,priceRange,avgPricePerPerson,description,verificationStatus,lastVerifiedDate,menuSourceUrl,hoursSourceUrl,priceSourceUrl,mapSourceUrl,notes,lat,lng,taste,value,portion,cleanliness,ratingCount,foodKeywords,moodKeywords,etcKeywords,recommendFor,image,kakaoPlaceUrl,sourceCheckedDate
store-070,마시기똥차,고기,restaurant,충남 공주시 번영2로 54,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4720448271084,127.134875611176,0,0,0,0,0,,,,,,http://place.map.kakao.com/24212978,2026-05-29
store-071,맛고을,한식,restaurant,충남 공주시 전막3길 18-6,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.46983628219266,127.13146317238613,0,0,0,0,0,,,,,,http://place.map.kakao.com/10344744,2026-05-29
store-072,맥시칸치킨 신관점,치킨,restaurant,충남 공주시 신금1길 30-5,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4767786450007,127.143364260245,0,0,0,0,0,,,,,,http://place.map.kakao.com/2139046927,2026-05-29
store-073,먹신,고기,restaurant,충남 공주시 번영2로 53,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4721459964321,127.134663787903,0,0,0,0,0,,,,,,http://place.map.kakao.com/976083635,2026-05-29
store-074,메리포핀스,양식,restaurant,충남 공주시 번영1로 67,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4735765111495,127.135132667955,0,0,0,0,0,,,,,,http://place.map.kakao.com/9757824,2026-05-29
store-075,멕시카나치킨 신관점,치킨,restaurant,충남 공주시 신금1길 70,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.476762768043926,127.14751853274213,0,0,0,0,0,,,,,,http://place.map.kakao.com/10341452,2026-05-29
store-076,면식당 공주대점,일식,restaurant,충남 공주시 공주대학로 67,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4709502406765,127.137746808927,0,0,0,0,0,,,,,,http://place.map.kakao.com/141628154,2026-05-29
store-077,명동샤브샤브칼국수,기타,restaurant,충남 공주시 번영1로 84-8,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47341601164152,127.136796047226,0,0,0,0,0,,,,,,http://place.map.kakao.com/9759257,2026-05-29
store-078,명륜진사갈비 충남공주점,고기,restaurant,충남 공주시 번영1로 64-1,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47309784992521,127.13526015351137,0,0,0,0,0,,,,,,http://place.map.kakao.com/1564539842,2026-05-29
store-079,명품참치초밥,일식,restaurant,충남 공주시 공주대학로 17-31,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4668506394994,127.135572854967,0,0,0,0,0,,,,,,http://place.map.kakao.com/1777009236,2026-05-29
